Timestamps,Type1,Data1
02/04/2020,SDG-STD,1.16498618
03/04/2020,SDG-STD,1.166167077
04/04/2020,SDG-STD,1.166115022
05/04/2020,SDG-STD,1.166669344
06/04/2020,SDG-STD,1.164046981
07/04/2020,SDG-STD,1.161347383
08/04/2020,SDG-STD,1.1593839
09/04/2020,SDG-STD,1.157500688
10/04/2020,SDG-STD,1.156608042
11/04/2020,SDG-STD,1.156468001
12/04/2020,SDG-STD,1.156677254
13/04/2020,SDG-STD,1.158755759
14/04/2020,SDG-STD,1.158246118
15/04/2020,SDG-STD,1.159595821
16/04/2020,SDG-STD,1.161415021
17/04/2020,SDG-STD,1.161676048
18/04/2020,SDG-STD,1.162066577
19/04/2020,SDG-STD,1.162227777
20/04/2020,SDG-STD,1.159968336
21/04/2020,SDG-STD,1.16054457
22/04/2020,SDG-STD,1.159136253
23/04/2020,SDG-STD,1.156090119
24/04/2020,SDG-STD,1.154406705
25/04/2020,SDG-STD,1.15391922
26/04/2020,SDG-STD,1.154015603
27/04/2020,SDG-STD,1.151601888
28/04/2020,SDG-STD,1.150072863
29/04/2020,SDG-STD,1.147538677
30/04/2020,SDG-STD,1.146536614
01/05/2020,SDG-STD,1.145580414
02/05/2020,SDG-STD,1.14559965
03/05/2020,SDG-STD,1.145537306
04/05/2020,SDG-STD,1.145323608
05/05/2020,SDG-STD,1.144268212
06/05/2020,SDG-STD,1.142811581
07/05/2020,SDG-STD,1.142228505
08/05/2020,SDG-STD,1.143200209
09/05/2020,SDG-STD,1.142498634
10/05/2020,SDG-STD,1.1412531
11/05/2020,SDG-STD,1.140482525
12/05/2020,SDG-STD,1.138770477
13/05/2020,SDG-STD,1.138655399
14/05/2020,SDG-STD,1.13926926
15/05/2020,SDG-STD,1.142074826
16/05/2020,SDG-STD,1.143175247
17/05/2020,SDG-STD,1.14241373
18/05/2020,SDG-STD,1.139575692
19/05/2020,SDG-STD,1.13690317
20/05/2020,SDG-STD,1.135779997
21/05/2020,SDG-STD,1.13550596
22/05/2020,SDG-STD,1.136997457
23/05/2020,SDG-STD,1.138373759
24/05/2020,SDG-STD,1.138442441
